itemid,total_interaction_strength,total_users
118551,521,343
260317,520,397
175356,519,365
232172,519,275
425186,519,360
283916,518,225
61303,517,311
227318,515,341
51650,512,306
321905,512,362
372188,511,250
85914,508,311
368403,508,164
310944,506,204
444593,506,226
340825,504,362
100282,503,281
382751,502,310
432152,501,283
340375,500,257
280375,499,353
255725,498,298
17108,497,256
283115,496,209
184998,494,435
208939,494,198
325852,492,268
186256,490,364
276245,490,376
428257,490,273
75779,490,396
216888,485,409
210087,485,237
243980,484,212
340960,483,300
29890,482,429
429571,482,376
184199,481,392
235047,481,294
11663,481,332
198784,481,301
389135,480,314
115323,477,417
286731,475,241
200425,474,280
190070,470,349
369933,470,209
76196,468,250
84310,466,303
137144,465,414
301721,465,230
244252,464,316
51354,464,215
103156,462,295
101845,461,402
446820,460,289
276494,459,298
413990,458,320
190536,458,335
316472,457,204
251349,457,392
116624,456,246
414460,456,208
244571,456,311
387373,456,263
385475,455,288
194791,455,404
302563,455,346
340093,454,310
16813,454,302
292444,454,223
198209,454,221
328696,453,335
389814,452,234
203908,452,389
183511,451,294
244924,450,387
54502,450,337
463617,448,255
12765,448,277
204057,446,248
40870,446,21
68000,446,354
233734,445,281
398579,445,217
280328,445,253
415610,444,241
228644,444,253
388097,442,281
56782,442,238
351481,442,258
144704,441,267
337327,440,243
89044,440,239
456005,439,323
229204,438,384
176162,438,297
339517,437,292
212216,434,252
268335,433,289
277490,433,305
188051,433,265
304877,432,303
358211,432,308
159780,432,232
314789,432,198
75075,431,362
436004,431,280
257575,428,200
422671,428,268
24734,427,257
412898,427,293
56323,427,325
114866,426,362
48704,425,361
13925,425,279
156173,425,378
263258,424,234
63543,424,250
162525,424,383
391289,423,295
187138,422,223
20981,422,312
448220,421,291
272324,420,216
287449,420,169
460133,419,337
193359,419,357
359251,419,334
405770,418,237
139487,417,358
299038,417,275
152433,417,284
335331,416,309
446522,415,223
113535,414,214
192710,413,374
286481,413,314
264604,410,298
229857,410,372
259884,410,247
90240,409,326
455006,409,304
304685,409,185
245818,409,335
465522,409,204
92361,408,237
312717,408,182
250901,407,329
294807,407,280
237952,407,288
323194,407,343
380237,406,285
354153,406,193
354585,405,239
448044,405,308
45707,405,374
361288,403,312
298056,402,289
395435,402,239
447995,401,330
48997,401,315
30024,400,229
115696,400,261
167337,400,288
14671,399,301
33912,398,217
227161,398,287
457045,397,233
251970,397,335
124583,397,265
126332,396,262
245085,396,297
382885,396,95
101288,396,242
217605,396,141
218626,395,260
305588,395,239
197642,394,253
361956,394,259
240900,394,251
137697,393,229
227211,392,241
52928,392,257
215503,392,267
199657,391,308
273041,391,263
60980,390,157
350384,390,142
29757,390,169
97307,389,294
438412,389,247
198996,389,350
125751,388,237
22926,388,290
331311,387,269
330647,386,281
128908,386,281
461061,386,311
143416,383,275
449489,383,160
271896,382,279
273936,382,339
85579,381,161
359844,381,225
393744,381,326
446534,381,295
272976,381,288
120541,380,270
396491,380,297
188698,380,245
252344,378,203
461190,378,137
110943,377,317
212917,377,199
386947,377,247
211418,377,156
446934,376,263
11670,375,199
79572,375,304
309821,375,177
115426,375,291
101094,373,267
411373,373,230
98547,373,245
451806,373,242
243169,372,241
272527,372,291
244458,372,166
398489,371,197
381613,369,144
23683,369,267
348596,369,332
310514,369,191
165302,368,266
138017,368,255
282385,368,188
334920,367,254
237422,367,223
428085,366,317
177522,365,232
422356,364,248
463280,364,223
463663,364,242
334401,364,157
58663,364,232
107184,363,230
465511,363,209
452852,363,244
464767,362,295
385769,362,241
212045,362,320
10516,361,225
133224,361,208
239590,361,299
268081,360,221
450209,360,311
193828,360,204
37254,358,141
324290,358,131
321850,358,287
379390,357,240
160272,357,220
240262,357,252
438322,357,238
332629,357,254
55925,357,193
225257,357,230
153889,357,257
110151,356,239
339808,356,224
359990,356,236
243250,355,240
77573,355,189
130865,355,241
334520,355,219
200242,355,229
128296,354,206
307306,354,207
367102,353,247
64253,353,286
61273,353,220
456792,353,223
191303,352,252
432011,352,234
56664,351,273
92466,351,140
124272,350,208
189381,350,299
74661,349,308
21455,349,232
354881,349,125
2836,348,188
21730,347,312
32581,347,180
170390,346,168
424506,346,168
98425,346,239
395845,346,271
16344,346,121
391484,345,214
51314,345,279
369565,345,232
310318,344,269
277264,344,276
191049,344,142
130815,344,201
378045,344,257
183313,343,252
34853,343,238
303704,343,254
190463,342,145
78163,342,183
88886,341,240
265966,341,179
125440,341,216
124919,341,216
168952,341,163
432478,341,183
254477,340,240
52039,340,175
91152,340,201
466008,339,186
185535,339,234
9211,339,222
314801,339,247
174538,339,244
291964,338,182
372845,338,225
399531,337,180
45337,337,305
118780,337,251
412622,336,187
365673,336,254
207923,336,282
399592,336,220
459325,335,241
416979,335,269
338427,334,123
289633,334,208
20388,334,92
50648,334,193
130709,334,209
33182,333,242
403969,333,215
445676,333,228
273118,333,258
149253,332,197
432183,332,234
444365,332,222
150547,332,164
455804,331,238
29940,331,170
347414,331,247
303833,330,164
208270,330,241
147005,329,249
37115,329,184
373384,329,263
425726,328,234
128745,328,185
174185,328,205
350399,327,226
101718,327,145
466109,327,163
209849,326,262
219488,325,234
50467,325,278
143418,325,234
63721,325,218
359439,325,177
356029,324,192
57245,324,136
166306,324,198
165337,324,151
450641,323,207
256721,323,159
322955,323,246
171427,323,218
280029,323,216
237021,323,230
32843,322,248
462188,322,142
399674,322,196
457231,322,192
424899,322,246
215704,322,247
257070,322,201
102229,322,285
340808,321,197
371155,321,235
45175,321,187
389172,321,232
266553,321,167
166285,321,265
306289,321,13
829,321,187
397642,320,148
393768,320,180
358348,320,115
271953,320,269
265810,319,224
190172,319,196
248605,318,173
288525,318,163
336131,318,204
234493,316,188
89688,316,206
224832,316,214
348237,316,307
182785,316,189
135900,315,249
69974,315,259
40140,314,168
302329,314,202
373842,314,151
78729,314,196
216044,314,218
148103,313,130
109583,313,137
279531,313,243
181202,313,220
256695,313,266
91888,313,132
285729,312,227
80858,312,105
390799,312,173
305656,312,214
157705,312,235
296619,312,124
449391,312,147
185677,311,186
365015,311,129
45543,310,252
97879,310,247
278586,310,219
228287,310,155
460553,310,135
49384,309,182
328692,309,174
113440,309,168
170936,309,246
119538,309,232
248023,308,216
90219,308,180
342330,308,227
243882,308,273
92668,307,189
273872,307,173
140861,307,183
456056,307,104
272969,307,174
463668,307,268
411766,306,275
365787,306,229
279052,306,160
346673,306,151
168367,306,210
108486,305,176
206930,305,164
368947,305,226
73852,305,221
450455,305,215
212672,305,251
303229,304,110
134118,304,178
262522,304,216
114137,304,179
132347,304,200
340921,304,139
259873,304,260
124193,303,152
43267,303,168
440248,303,146
62599,303,213
430292,303,121
448494,303,163
414410,302,206
215868,302,146
355393,302,158
229928,302,180
268755,302,148
432925,301,188
424186,301,205
89262,301,187
204070,301,252
255689,301,199
248614,300,198
69081,300,264
415081,300,252
36868,300,221
26970,300,266
238766,300,200
316243,300,229
272907,300,126
30391,300,216
98899,299,151
88098,299,112
239020,298,204
145403,298,114
380493,298,177
296795,298,189
446411,298,187
118894,298,208
314103,298,246
363111,297,232
349506,297,203
29167,296,199
224355,296,251
112537,296,255
26210,295,155
224614,295,155
111179,295,204
401285,294,214
360922,294,154
345086,294,154
118199,294,188
262826,294,195
347812,294,211
390379,294,206
212006,294,170
65580,294,180
122219,293,133
36810,293,194
51360,293,209
227790,293,121
92814,292,175
413951,292,194
91600,292,242
403576,292,173
227869,292,181
27442,292,234
26477,291,118
366809,291,222
115258,291,127
383717,291,213
91770,290,246
118752,290,156
387318,289,172
448601,289,132
384157,289,159
200270,288,254
110529,288,212
120098,287,113
148666,287,153
374698,287,153
186095,287,213
387377,286,182
108457,286,220
137974,286,139
277328,286,224
89438,286,197
86057,286,216
312781,286,140
63119,286,239
48892,285,221
322887,285,187
294438,285,162
361281,285,221
254432,285,182
227880,285,192
233439,285,135
82174,284,205
161135,284,236
443030,284,151
31791,284,164
367447,284,202
375492,284,223
96127,284,159
211811,284,250
301843,284,188
93101,284,227
386092,283,184
200180,283,171
360825,283,172
174489,283,105
357564,283,245
247356,283,146
227092,283,212
27248,283,199
87557,283,199
294424,282,171
85510,282,200
418619,282,226
310702,281,158
417464,281,182
98051,281,177
26634,281,125
277139,281,167
368488,281,213
436748,281,155
45330,280,200
73602,280,137
127537,280,204
241752,280,168
396064,280,81
419761,279,217
375118,279,153
260415,279,170
230616,279,211
20968,279,106
158912,279,90
244027,279,164
379796,279,170
45140,279,234
291389,279,250
96680,279,192
54875,278,177
256706,278,152
176484,277,90
111602,277,224
159380,277,172
463122,277,194
255708,277,144
49621,277,182
184331,276,162
402455,276,165
454784,275,195
306590,275,197
125831,275,148
127969,275,152
40864,275,220
91443,275,229
188148,275,126
354676,275,222
7765,274,221
340749,274,129
122941,274,206
157743,274,189
14974,274,231
408203,274,157
23707,273,237
44208,273,204
200527,273,160
339479,273,221
328876,272,216
215308,272,192
416170,272,183
39449,272,189
75331,272,181
256146,272,111
322666,272,149
355200,271,174
373600,271,196
459936,271,192
260957,271,162
166100,271,145
262125,271,195
194010,271,173
334094,270,138
222604,270,116
56303,270,181
408504,270,173
328467,270,139
411886,270,110
32267,270,173
101876,269,206
365202,269,199
1152,269,195
415781,269,148
166691,269,202
73019,269,197
156466,269,132
212650,268,171
403591,268,167
373128,268,184
106741,268,133
106786,268,217
29863,268,148
199018,268,132
55515,268,210
415562,268,173
203002,267,189
133647,267,139
221329,267,118
366732,267,205
144053,267,188
20740,267,123
6605,267,70
179834,267,146
162046,267,134
21970,266,170
51969,266,177
355325,266,109
332005,266,159
95426,266,147
164035,266,111
399192,266,76
367588,266,180
252319,266,155
405493,266,191
256134,265,216
357650,265,134
193518,265,92
49466,265,168
383715,265,168
345694,265,150
460187,265,190
140527,264,86
346429,264,201
188390,264,158
203594,264,162
461538,264,157
418572,264,213
172605,264,216
34843,264,173
243554,264,215
287356,263,160
332018,263,158
262258,263,194
393142,263,190
299592,263,231
429607,263,186
75458,262,180
57389,262,125
194270,262,213
428554,262,200
428556,262,186
442837,262,154
355511,262,172
93389,262,205
382499,262,164
375822,261,143
36995,261,147
141295,261,205
266439,260,152
143185,260,181
181045,260,129
117075,259,149
188723,259,185
248626,259,141
432992,258,185
361443,258,153
394052,258,155
357531,258,149
466385,258,82
330469,258,101
261979,258,144
263245,257,70
49257,257,152
178274,257,101
69599,257,225
63102,257,150
139515,257,174
239006,256,131
93558,256,194
257200,256,156
433059,256,223
458637,256,121
139770,256,196
454771,256,211
382419,255,149
358594,255,73
197621,255,166
440747,255,195
408933,255,113
238059,255,184
284648,255,176
50934,255,174
254196,255,112
186702,255,113
437804,254,193
284000,254,216
154638,254,163
247307,254,154
19976,254,192
414704,254,190
367956,254,196
422547,254,186
453235,253,200
192413,253,136
188069,253,168
454422,253,139
369093,253,148
226127,253,220
303960,253,141
20187,253,187
139978,252,195
434688,252,183
229382,252,123
223829,252,120
79378,252,160
227331,252,174
235664,252,187
439963,252,81
140532,252,180
243606,252,185
26988,252,200
362914,251,207
184903,251,188
176363,251,109
304973,251,230
331168,251,229
423851,251,177
296989,251,175
167769,251,108
354714,251,158
67811,251,168
291860,251,228
240170,250,173
96883,250,160
141908,250,183
38483,250,181
155871,250,201
436694,250,88
262982,250,156
186214,250,156
67438,250,147
338395,250,79
167126,250,109
267051,249,176
158314,249,176
322717,249,114
413901,249,12
216019,249,174
168927,249,137
443709,249,124
152120,249,158
270383,249,130
202170,248,162
173291,248,151
30990,248,157
4067,248,135
167543,248,162
126623,248,126
252860,248,224
217278,248,91
247930,248,148
176106,248,191
122041,247,166
195360,247,175
123175,247,119
440677,247,137
107972,247,148
424193,247,161
291774,247,228
46924,246,133
77902,246,196
290227,246,112
445757,246,221
84172,246,223
119636,246,192
421884,246,116
422905,246,160
388536,246,138
358895,245,63
255344,245,136
202648,245,136
34269,245,159
421337,245,191
2463,245,125
352723,245,172
461091,244,159
97139,244,176
78265,244,90
48256,244,216
385091,244,161
166050,244,189
9759,244,172
171814,243,107
434289,243,138
374996,243,113
278351,243,194
400998,243,183
455763,243,125
219933,243,179
170085,243,221
351074,243,172
93941,242,141
348352,242,148
120763,242,165
203780,242,154
256513,242,143
275937,241,193
444006,241,117
181204,241,161
288340,241,155
337257,241,184
187026,241,136
210984,241,145
267196,241,189
126396,241,188
447215,241,120
269452,240,163
361103,240,109
55758,240,189
93144,240,180
199874,240,163
214790,240,177
181673,240,163
358485,240,163
150215,240,113
288418,240,100
8497,240,192
396042,239,128
103242,239,177
298560,238,156
396732,238,123
319680,238,118
144540,238,156
259357,238,103
66974,238,134
416399,238,144
41803,238,121
277794,238,183
287647,238,118
31406,238,194
278272,238,167
334886,238,171
353347,238,211
325652,238,168
292192,238,183
174815,238,123
143689,238,185
410286,238,216
18287,237,172
205814,237,136
357583,237,126
251751,237,147
145582,237,194
18519,236,178
81473,236,126
21746,236,192
396445,236,123
27897,236,155
455499,236,206
89871,236,139
2416,236,72
18921,236,197
175914,235,158
319723,235,157
420631,235,178
127799,235,184
261589,235,102
417059,235,151
270950,235,140
277762,235,145
203917,235,198
334004,235,205
308102,235,123
241441,235,179
179733,235,197
355396,234,168
59665,234,171
276035,234,142
376793,234,133
125318,234,160
73123,234,164
228279,234,198
221911,234,139
148360,234,134
92271,234,119
166138,233,164
448690,233,120
449023,233,145
79846,233,144
362606,233,139
265674,233,186
188228,233,161
228521,233,194
162375,233,150
398756,233,120
126555,233,174
356455,233,194
19883,233,99
130221,233,154
264392,232,166
187132,232,164
250015,232,179
12040,232,179
58752,232,155
65889,232,199
350528,232,185
387947,232,150
109661,232,186
302696,231,185
385261,231,157
262521,231,158
232062,231,120
453390,231,162
437293,230,145
361554,230,94
155319,230,179
361551,230,157
377960,230,103
436195,230,187
410122,230,125
346892,230,144
290003,230,169
140156,230,138
331446,230,213
221317,230,133
315393,230,164
236565,230,203
374841,230,203
243566,230,129
380212,230,152
365879,229,162
144635,229,78
181576,229,96
73917,229,137
164178,229,159
425228,229,133
294242,229,95
179807,229,117
315489,228,193
428891,228,133
185246,228,139
316183,228,140
425758,228,126
189265,228,131
169260,228,179
167978,228,164
459848,228,190
356339,228,6
377863,228,169
86532,228,169
303573,227,117
287561,227,176
358565,227,135
210002,227,96
347226,227,170
153625,227,153
139435,226,119
339763,226,161
323381,226,137
422948,226,145
388974,226,122
186352,226,135
223064,225,197
63092,225,150
44053,225,189
8300,225,159
183178,225,101
116429,225,196
321712,225,128
159624,225,80
254101,225,169
175555,225,152
131385,225,85
261673,224,128
107195,224,136
297884,224,147
260093,224,182
67434,224,134
299817,224,186
195958,224,142
64747,224,169
253565,223,187
419371,223,134
396930,223,128
464541,223,206
415818,223,101
261644,223,172
445059,223,154
8122,223,142
71733,223,126
230911,223,116
290550,223,185
102891,223,147
185348,223,102
289486,222,178
85865,222,167
234390,222,137
59471,222,197
204038,222,125
458271,222,90
17655,222,164
443103,221,157
441966,221,134
287696,221,120
4437,221,177
82232,221,108
458733,221,183
175332,221,202
190534,220,108
84593,220,142
424421,220,115
230842,220,122
308648,220,92
303776,220,149
206218,220,123
400093,220,117
191106,220,154
235771,220,140
120050,220,145
321089,219,106
380014,219,160
453286,219,168
17419,219,155
383828,219,146
102471,219,123
418181,219,186
89323,219,88
89087,219,172
426031,219,137
326551,219,146
71846,219,172
300133,219,114
276704,218,124
297404,218,141
412656,218,138
206241,218,75
103221,218,172
417418,218,130
214630,218,154
178999,218,156
155485,218,142
150103,218,180
191203,218,148
329279,217,121
449701,217,158
207430,217,124
174529,217,198
302307,217,95
353519,217,188
108646,217,166
212726,217,187
341578,217,156
284654,217,135
238650,217,142
216225,217,145
98467,217,118
374759,217,134
426351,217,160
149230,216,97
174284,216,159
85674,216,169
390093,216,139
252068,216,107
98708,216,137
88831,216,124
391992,216,168
379215,216,171
21838,216,137
337661,216,149
463804,216,154
141328,215,131
25514,215,121
319900,215,106
390934,215,88
56630,215,109
350240,215,145
45089,215,127
219821,215,127
146528,215,162
253286,215,94
192792,215,143
236141,214,161
233427,214,143
207825,214,136
447360,214,154
242188,214,176
23593,214,181
95808,214,131
282746,214,192
428034,214,179
433441,214,123
221638,214,148
367490,214,101
28900,214,187
61784,214,173
383450,214,185
25375,213,140
67045,213,170
121835,213,133
165996,213,176
246532,213,79
366859,213,132
98728,213,165
351289,213,170
201620,213,133
241853,213,115
93001,213,147
301345,213,138
215172,213,132
76617,213,159
338307,212,149
441953,212,145
140378,212,158
252262,212,150
329146,212,160
395451,212,137
349679,212,154
305016,212,132
60321,212,145
253156,212,101
7161,212,164
136860,212,148
147879,212,131
120990,211,134
265571,211,123
228068,211,177
222613,211,159
103127,211,77
396963,211,176
244819,211,108
411280,211,140
434652,211,133
285055,211,92
278679,211,75
450135,211,169
115525,211,156
52571,211,152
49810,211,183
337262,211,164
360905,210,115
312202,210,171
29216,210,167
214436,210,196
248262,210,165
306419,210,166
278214,210,173
108096,210,163
308053,210,125
21886,210,111
396619,210,162
107503,210,103
140879,210,142
126044,210,137
364612,209,155
375386,209,176
213310,209,150
66451,209,179
159430,209,176
294267,209,100
73593,209,125
245168,209,116
133398,209,177
158114,209,153
236266,209,133
377683,209,150
15564,209,140
428827,209,171
383084,209,159
218126,209,111
81185,209,169
210279,209,124
173313,208,131
150318,208,140
236180,208,121
57301,208,131
217068,208,136
400873,208,123
172004,208,147
183756,208,119
430845,208,117
329595,208,129
380511,208,150
367480,208,149
333566,208,146
196860,208,140
464998,207,112
447710,207,169
281103,207,126
327946,207,159
418609,207,119
95598,207,148
461671,207,66
374554,207,125
195971,207,164
103634,207,141
167399,207,55
250019,207,114
137352,207,76
264384,207,191
114752,207,190
463118,207,153
190515,207,195
59467,207,145
103961,206,147
320786,206,145
103900,206,157
433504,206,140
104116,206,76
65286,206,136
229808,206,136
385355,206,131
225279,206,105
391472,205,138
380944,205,145
344388,205,148
343861,205,113
86761,205,156
319613,205,172
42145,205,163
241149,205,160
375332,205,89
411934,205,84
66405,205,74
379841,205,78
248440,205,165
17189,205,127
388897,204,130
301020,204,143
350960,204,145
369112,204,80
198921,204,120
198903,204,115
267593,204,158
83366,204,145
107155,204,98
381211,204,111
281211,204,105
66145,204,185
31004,203,170
169583,203,120
453487,203,137
463585,203,153
188395,203,132
333191,203,133
312594,203,132
222957,203,134
295537,203,141
127042,203,133
98178,203,101
242976,203,131
258508,202,151
372087,202,123
8347,202,142
293139,202,159
461765,202,103
336855,202,146
398452,202,156
136523,202,102
381081,202,116
302478,202,55
392146,201,150
214757,201,111
45782,201,154
411482,201,108
113233,201,115
322973,201,140
197980,201,121
116248,201,172
49544,201,104
333289,201,136
229205,201,142
124264,201,136
271930,201,108
112197,200,89
268683,200,179
279906,200,163
121489,200,132
119283,200,167
179856,200,115
144507,200,109
223203,200,96
448943,200,139
377385,200,194
387652,200,136
225612,200,163
384470,200,96
95683,200,179
118446,200,165
336359,200,100
123664,200,118
4606,200,141
360877,199,112
73311,199,101
84773,199,145
425374,199,184
278893,199,90
5813,199,154
220513,199,70
183371,199,172
32730,199,154
188169,199,125
89675,199,169
391156,199,125
354023,199,145
233938,199,113
181493,199,145
2455,199,91
463025,199,156
224605,198,131
346203,198,129
93018,198,164
104560,198,94
328486,198,119
310816,198,119
357474,198,126
403215,198,162
395497,198,116
187934,198,79
100393,198,109
352788,198,86
378287,198,132
271890,198,148
286217,198,126
306045,198,131
82377,197,104
325772,197,79
208460,197,177
115946,197,162
184465,197,126
306285,197,112
39561,197,130
120822,197,120
309403,197,143
329576,197,133
134255,197,102
36977,197,157
398634,197,155
220165,197,164
238777,196,145
123548,196,131
9975,196,134
443875,196,126
212767,196,121
303341,196,155
69207,196,146
239738,195,142
263188,195,109
268955,195,116
306034,195,127
175668,195,124
395522,195,153
352115,195,110
75555,195,131
145715,195,154
418560,195,94
330035,195,145
256473,195,112
127712,195,168
306763,195,143
144076,195,116
428232,195,146
346648,195,107
88904,195,117
175885,194,93
407078,194,87
247948,194,64
322342,194,102
288078,194,145
134191,194,62
153961,194,108
260735,194,144
257635,194,152
168224,194,98
354555,194,153
226192,194,135
192227,194,151
401151,194,117
456889,194,133
418007,193,137
243171,193,121
441642,193,172
226374,193,138
67304,193,78
152249,193,128
388562,193,160
295613,193,152
442871,193,110
279332,193,107
301324,193,149
222422,193,116
225585,193,132
301013,193,145
325670,193,95
215944,193,165
46109,193,133
54172,193,131
370395,192,79
33030,192,167
179290,192,83
282806,192,138
174409,192,143
466614,192,107
164941,192,133
415062,192,108
111830,192,145
187549,192,95
331567,191,153
83837,191,109
266085,191,83
257655,191,87
285822,191,128
267010,191,105
275339,191,89
72118,191,154
139725,191,84
305496,191,116
13280,191,99
269773,190,115
306297,190,82
27537,190,99
26228,190,126
284045,190,135
62275,190,74
240470,190,122
238445,190,125
444741,190,107
373725,190,92
19752,190,139
368314,190,146
412616,190,150
145730,190,123
178362,190,141
31640,190,105
395749,190,93
170572,190,152
274445,189,157
130352,189,110
302116,189,138
412404,189,140
41217,189,122
344902,189,149
39439,189,113
277119,189,91
396336,189,162
48743,188,110
256164,188,122
344435,188,135
444712,188,123
6656,188,144
20017,188,48
243247,188,114
153135,188,131
102176,188,134
460658,188,166
220540,188,122
381653,188,148
54435,188,95
403848,188,135
429765,188,97
291394,188,87
20218,187,108
339661,187,135
281003,187,147
44465,187,68
383285,187,168
260579,187,150
93831,187,99
274435,187,72
193488,187,97
277247,187,94
17322,187,101
455570,187,120
441158,187,125
117984,187,141
173589,187,111
389860,187,116
344603,186,161
436056,186,93
170751,186,154
192251,186,103
11131,186,166
332183,186,130
1489,186,150
203915,186,84
453192,186,107
183087,186,83
352328,186,165
19588,186,127
98071,186,89
175749,186,93
345077,186,139
267347,186,124
356791,185,149
230813,185,114
377723,185,116
192491,185,105
178537,185,116
406375,185,159
283896,185,97
13224,185,80
426550,185,126
379739,185,114
298747,185,153
165030,185,83
99187,185,121
390857,185,81
91522,185,175
104982,185,160
368841,184,69
161707,184,91
465565,184,83
403146,184,106
97890,184,101
252290,184,119
174719,184,124
109656,184,135
344862,184,129
253072,184,129
260194,184,84
236158,184,91
377981,184,86
271405,184,121
409655,184,83
86342,184,152
273762,184,134
275625,184,86
126236,184,99
228075,184,123
285260,184,164
192931,183,105
56947,183,160
248711,183,102
319114,183,174
314579,183,117
177618,183,114
132600,183,99
401941,183,150
240708,182,113
129279,182,73
225215,182,152
265338,182,153
78523,182,124
109589,182,75
317199,182,129
200537,182,128
48213,182,104
94521,182,86
43830,182,87
191726,182,138
96489,182,127
114340,182,123
257338,182,141
130113,182,72
187374,182,65
376823,181,154
145024,181,150
104468,181,121
365166,181,107
37554,181,115
293737,181,124
223739,181,96
67182,181,126
176113,181,134
394518,181,96
230554,181,124
163389,181,138
29871,181,93
409562,181,133
246090,181,99
132772,181,102
257748,181,99
465951,181,104
324391,181,84
332224,181,83
223003,181,102
44547,181,143
256270,181,107
308025,181,109
425951,181,146
199838,181,126
165773,181,128
334536,180,131
187992,180,102
138201,180,166
296561,180,126
219034,180,130
344616,180,129
232533,180,105
418277,180,111
411959,180,100
275559,180,73
62641,180,114
192569,180,134
158448,180,70
413048,179,140
49521,179,125
233861,179,111
305503,179,125
233132,179,119
335041,179,116
76941,179,109
19269,179,113
397236,179,125
184628,179,76
106037,179,138
303548,179,162
236512,179,72
365320,179,132
10034,179,107
161354,179,76
31954,179,158
333140,179,141
362659,179,107
425296,179,150
431472,178,127
254290,178,66
76971,178,126
386859,178,122
330090,178,128
177257,178,77
369194,178,127
64521,178,145
74833,178,95
301682,178,109
95977,178,108
382437,178,119
337512,178,126
46660,178,117
426690,178,145
302224,178,123
381941,178,78
250212,178,108
340894,178,156
183095,178,143
223042,178,140
37068,177,86
331910,177,105
320620,177,133
110283,177,118
260581,177,136
19402,177,154
143866,177,28
46938,177,95
323175,177,130
61298,177,120
363210,177,90
432357,177,67
21253,177,108
88446,176,106
33907,176,93
249434,176,97
205139,176,99
47541,176,149
129356,176,79
363125,176,127
238865,176,91
347244,176,133
239604,176,159
127995,176,112
440066,176,108
85307,176,124
277556,176,110
315810,176,143
332816,176,125
345867,176,134
301404,176,171
323735,176,137
342264,176,72
350525,176,97
141240,176,112
296749,176,89
122873,176,81
58719,176,97
259189,176,91
345576,176,148
380250,175,144
461614,175,99
431310,175,131
233695,175,73
284547,175,126
298868,175,122
281212,175,92
35986,175,140
124780,175,88
107042,175,143
67814,175,128
124065,175,70
89379,175,136
135856,175,120
363645,175,114
377500,175,148
114121,175,97
245333,175,134
198400,175,110
26423,175,146
29879,174,100
371585,174,103
438092,174,115
342642,174,114
108618,174,129
204166,174,135
408139,174,98
299044,174,56
303167,174,120
200117,174,151
55251,174,79
113935,174,132
302311,174,148
352072,174,120
336393,174,98
424512,174,68
368193,174,71
280495,174,80
160053,174,146
268972,174,97
325256,174,103
452267,174,152
168944,174,132
276762,174,87
105815,174,132
445187,174,147
312357,174,115
102136,174,127
271537,174,109
427923,174,138
