visitorid,itemid,recommendation_score
3827,118633,1.0
3827,39207,1.0
3827,69081,1.0
3827,143316,1.0
3827,256694,1.0
3827,97890,1.0
3827,55072,1.0
3872,358819,4.0
3872,337166,1.0
3872,301547,1.0
3872,118633,1.0
3872,39207,1.0
3872,69081,1.0
3872,143316,1.0
3872,256694,1.0
3872,97890,1.0
3872,55072,1.0
4062,358819,4.0
4062,337166,1.0
4062,301547,1.0
4062,118633,1.0
4062,39207,1.0
4062,69081,1.0
4062,143316,1.0
4062,256694,1.0
4062,97890,1.0
4062,55072,1.0
4067,358819,4.0
4067,337166,1.0
4067,301547,1.0
4067,118633,1.0
4067,39207,1.0
4067,69081,1.0
4067,143316,1.0
4067,256694,1.0
4067,97890,1.0
4067,55072,1.0
4076,358819,4.0
4076,289103,2.0
4076,31640,1.0
4076,349736,1.0
4076,39207,1.0
4076,143316,1.0
4076,190000,1.0
4076,256694,1.0
4076,97890,1.0
4076,55072,1.0
4316,358819,4.0
4316,337166,1.0
4316,301547,1.0
4316,118633,1.0
4316,39207,1.0
4316,69081,1.0
4316,143316,1.0
4316,256694,1.0
4316,97890,1.0
4316,55072,1.0
4482,358819,4.0
4482,337166,1.0
4482,301547,1.0
4482,118633,1.0
4482,39207,1.0
4482,69081,1.0
4482,143316,1.0
4482,256694,1.0
4482,97890,1.0
4482,55072,1.0
4484,358819,4.0
4484,337166,1.0
4484,301547,1.0
4484,118633,1.0
4484,39207,1.0
4484,69081,1.0
4484,143316,1.0
4484,256694,1.0
4484,97890,1.0
4484,55072,1.0
4570,358819,4.0
4570,337166,1.0
4570,301547,1.0
4570,118633,1.0
4570,39207,1.0
4570,69081,1.0
4570,143316,1.0
4570,256694,1.0
4570,97890,1.0
4570,55072,1.0
4843,358819,4.0
4843,337166,1.0
4843,301547,1.0
4843,118633,1.0
4843,39207,1.0
4843,69081,1.0
4843,143316,1.0
4843,256694,1.0
4843,97890,1.0
4843,55072,1.0
5074,358819,4.0
5074,337166,1.0
5074,301547,1.0
5074,118633,1.0
5074,39207,1.0
5074,69081,1.0
5074,143316,1.0
5074,256694,1.0
5074,97890,1.0
5074,55072,1.0
5281,358819,4.0
5281,337166,1.0
5281,301547,1.0
5281,118633,1.0
5281,39207,1.0
5281,69081,1.0
5281,143316,1.0
5281,256694,1.0
5281,97890,1.0
5281,55072,1.0
5436,358819,4.0
5436,337166,1.0
5436,301547,1.0
5436,118633,1.0
5436,39207,1.0
5436,69081,1.0
5436,143316,1.0
5436,256694,1.0
5436,97890,1.0
5436,55072,1.0
5545,119736,91.0
5545,409804,35.0
5545,213834,34.0
5545,439963,32.0
5545,355994,30.0
5545,235559,27.0
5545,338395,25.0
5545,65021,25.0
5545,282385,22.0
5545,182407,21.0
5780,97890,1.0
5780,55072,1.0
5780,311886,1.0
5780,380693,1.0
5780,202168,1.0
5780,296217,1.0
5780,298545,1.0
5780,69081,1.0
5780,77298,1.0
5780,207572,1.0
6275,358819,4.0
6275,337166,1.0
6275,301547,1.0
6275,118633,1.0
6275,39207,1.0
6275,69081,1.0
6275,143316,1.0
6275,256694,1.0
6275,97890,1.0
6275,55072,1.0
6675,358819,4.0
6675,337166,1.0
6675,301547,1.0
6675,118633,1.0
6675,39207,1.0
6675,69081,1.0
6675,143316,1.0
6675,256694,1.0
6675,97890,1.0
6675,55072,1.0
7514,358819,4.0
7514,337166,1.0
7514,301547,1.0
7514,118633,1.0
7514,39207,1.0
7514,69081,1.0
7514,143316,1.0
7514,256694,1.0
7514,97890,1.0
7514,55072,1.0
8171,358819,4.0
8171,118633,1.0
8171,39207,1.0
8171,143316,1.0
8171,256694,1.0
8171,97890,1.0
8171,55072,1.0
8171,311886,1.0
8171,380693,1.0
8171,202168,1.0
8258,358819,4.0
8258,337166,1.0
8258,301547,1.0
8258,118633,1.0
8258,39207,1.0
8258,69081,1.0
8258,143316,1.0
8258,256694,1.0
8258,97890,1.0
8258,55072,1.0
9037,358819,4.0
9037,337166,1.0
9037,301547,1.0
9037,118633,1.0
9037,39207,1.0
9037,69081,1.0
9037,143316,1.0
9037,256694,1.0
9037,97890,1.0
9037,55072,1.0
9261,358819,4.0
9261,337166,1.0
9261,301547,1.0
9261,118633,1.0
9261,39207,1.0
9261,69081,1.0
9261,143316,1.0
9261,256694,1.0
9261,97890,1.0
9261,55072,1.0
9934,358819,4.0
9934,337166,1.0
9934,301547,1.0
9934,118633,1.0
9934,39207,1.0
9934,69081,1.0
9934,143316,1.0
9934,256694,1.0
9934,97890,1.0
9934,55072,1.0
10068,358819,4.0
10068,337166,1.0
10068,301547,1.0
10068,118633,1.0
10068,39207,1.0
10068,69081,1.0
10068,143316,1.0
10068,256694,1.0
10068,97890,1.0
10068,55072,1.0
10584,358819,4.0
10584,159380,1.0
10584,39207,1.0
10584,380169,1.0
10584,143316,1.0
10584,256694,1.0
10584,97890,1.0
10584,55072,1.0
10584,311886,1.0
10584,380693,1.0
10856,97890,1.0
10856,55072,1.0
10856,311886,1.0
10856,380693,1.0
10856,202168,1.0
10856,296217,1.0
10856,298545,1.0
10856,69081,1.0
10856,77298,1.0
10856,207572,1.0
10868,358819,4.0
10868,337166,1.0
10868,301547,1.0
10868,118633,1.0
10868,39207,1.0
10868,69081,1.0
10868,143316,1.0
10868,256694,1.0
10868,97890,1.0
10868,55072,1.0
11201,358819,4.0
11201,337166,1.0
11201,301547,1.0
11201,118633,1.0
11201,39207,1.0
11201,69081,1.0
11201,143316,1.0
11201,256694,1.0
11201,97890,1.0
11201,55072,1.0
11670,358819,4.0
11670,30326,1.0
11670,118633,1.0
11670,39207,1.0
11670,143316,1.0
11670,256694,1.0
11670,97890,1.0
11670,55072,1.0
11670,311886,1.0
11670,380693,1.0
11678,216019,2.0
11678,432011,2.0
11678,313481,1.0
11678,97890,1.0
11678,55072,1.0
11678,311886,1.0
11678,380693,1.0
11678,202168,1.0
11678,296217,1.0
11678,298545,1.0
11792,358819,4.0
11792,337166,1.0
11792,301547,1.0
11792,118633,1.0
11792,39207,1.0
11792,69081,1.0
11792,143316,1.0
11792,256694,1.0
11792,97890,1.0
11792,55072,1.0
12222,358819,4.0
12222,337166,1.0
12222,301547,1.0
12222,118633,1.0
12222,39207,1.0
12222,69081,1.0
12222,143316,1.0
12222,256694,1.0
12222,97890,1.0
12222,55072,1.0
12396,358819,4.0
12396,337166,1.0
12396,301547,1.0
12396,118633,1.0
12396,39207,1.0
12396,69081,1.0
12396,143316,1.0
12396,256694,1.0
12396,97890,1.0
12396,55072,1.0
12952,358819,4.0
12952,337166,1.0
12952,301547,1.0
12952,118633,1.0
12952,39207,1.0
12952,69081,1.0
12952,143316,1.0
12952,256694,1.0
12952,97890,1.0
12952,55072,1.0
13022,358819,4.0
13022,337166,1.0
13022,301547,1.0
13022,118633,1.0
13022,39207,1.0
13022,69081,1.0
13022,143316,1.0
13022,256694,1.0
13022,97890,1.0
13022,55072,1.0
13048,358819,4.0
13048,337166,1.0
13048,301547,1.0
13048,118633,1.0
13048,39207,1.0
13048,69081,1.0
13048,143316,1.0
13048,256694,1.0
13048,97890,1.0
13048,55072,1.0
13145,432152,17.0
13145,105875,15.0
13145,263993,9.0
13145,182730,8.0
13145,98820,6.0
13145,257040,6.0
13145,367083,5.0
13145,118177,4.0
13145,358819,4.0
13145,450455,3.0
13491,358819,4.0
13491,337166,1.0
13491,301547,1.0
13491,118633,1.0
13491,39207,1.0
13491,69081,1.0
13491,143316,1.0
13491,256694,1.0
13491,97890,1.0
13491,55072,1.0
13516,358819,4.0
13516,337166,1.0
13516,301547,1.0
13516,118633,1.0
13516,39207,1.0
13516,69081,1.0
13516,143316,1.0
13516,256694,1.0
13516,97890,1.0
13516,55072,1.0
13530,358819,4.0
13530,337166,1.0
13530,301547,1.0
13530,118633,1.0
13530,39207,1.0
13530,69081,1.0
13530,143316,1.0
13530,256694,1.0
13530,97890,1.0
13530,55072,1.0
13701,358819,4.0
13701,337166,1.0
13701,301547,1.0
13701,118633,1.0
13701,39207,1.0
13701,69081,1.0
13701,143316,1.0
13701,256694,1.0
13701,97890,1.0
13701,55072,1.0
14372,358819,4.0
14372,337166,1.0
14372,301547,1.0
14372,118633,1.0
14372,39207,1.0
14372,69081,1.0
14372,143316,1.0
14372,256694,1.0
14372,97890,1.0
14372,55072,1.0
14565,119736,91.0
14565,409804,35.0
14565,213834,34.0
14565,439963,32.0
14565,355994,30.0
14565,235559,27.0
14565,338395,25.0
14565,65021,25.0
14565,282385,22.0
14565,182407,21.0
15211,358819,4.0
15211,190814,1.0
15211,39207,1.0
15211,387947,1.0
15211,143316,1.0
15211,256694,1.0
15211,97890,1.0
15211,55072,1.0
15211,311886,1.0
15211,380693,1.0
15228,358819,4.0
15228,337166,1.0
15228,301547,1.0
15228,118633,1.0
15228,39207,1.0
15228,69081,1.0
15228,143316,1.0
15228,256694,1.0
15228,97890,1.0
15228,55072,1.0
15352,358819,4.0
15352,337166,1.0
15352,301547,1.0
15352,118633,1.0
15352,39207,1.0
15352,69081,1.0
15352,143316,1.0
15352,256694,1.0
15352,97890,1.0
15352,55072,1.0
15518,358819,4.0
15518,337166,1.0
15518,301547,1.0
15518,118633,1.0
15518,39207,1.0
15518,69081,1.0
15518,143316,1.0
15518,256694,1.0
15518,97890,1.0
15518,55072,1.0
15654,358819,4.0
15654,337166,1.0
15654,301547,1.0
15654,118633,1.0
15654,39207,1.0
15654,69081,1.0
15654,143316,1.0
15654,256694,1.0
15654,97890,1.0
15654,55072,1.0
16208,358819,4.0
16208,337166,1.0
16208,301547,1.0
16208,118633,1.0
16208,39207,1.0
16208,69081,1.0
16208,143316,1.0
16208,256694,1.0
16208,97890,1.0
16208,55072,1.0
16287,358819,4.0
16287,337166,1.0
16287,301547,1.0
16287,118633,1.0
16287,39207,1.0
16287,69081,1.0
16287,143316,1.0
16287,256694,1.0
16287,97890,1.0
16287,55072,1.0
16858,119736,91.0
16858,409804,35.0
16858,213834,34.0
16858,439963,32.0
16858,355994,30.0
16858,235559,27.0
16858,338395,25.0
16858,65021,25.0
16858,282385,22.0
16858,182407,21.0
17089,358819,4.0
17089,180751,1.0
17089,39207,1.0
17089,143316,1.0
17089,256694,1.0
17089,97890,1.0
17089,55072,1.0
17089,311886,1.0
17089,380693,1.0
17089,202168,1.0
17121,119736,91.0
17121,409804,35.0
17121,213834,34.0
17121,439963,32.0
17121,355994,30.0
17121,235559,27.0
17121,65021,25.0
17121,338395,25.0
17121,282385,22.0
17121,442725,21.0
17201,358819,4.0
17201,337166,1.0
17201,301547,1.0
17201,118633,1.0
17201,39207,1.0
17201,69081,1.0
17201,143316,1.0
17201,256694,1.0
17201,97890,1.0
17201,55072,1.0
17288,358819,4.0
17288,39207,1.0
17288,143316,1.0
17288,256694,1.0
17288,97890,1.0
17288,55072,1.0
17288,311886,1.0
17288,380693,1.0
17288,202168,1.0
17288,296217,1.0
17389,358819,4.0
17389,337166,1.0
17389,301547,1.0
17389,118633,1.0
17389,39207,1.0
17389,69081,1.0
17389,143316,1.0
17389,256694,1.0
17389,97890,1.0
17389,55072,1.0
17670,358819,4.0
17670,337166,1.0
17670,301547,1.0
17670,118633,1.0
17670,39207,1.0
17670,69081,1.0
17670,143316,1.0
17670,256694,1.0
17670,97890,1.0
17670,55072,1.0
17990,358819,4.0
17990,337166,1.0
17990,301547,1.0
17990,118633,1.0
17990,39207,1.0
17990,69081,1.0
17990,143316,1.0
17990,256694,1.0
17990,97890,1.0
17990,55072,1.0
18017,358819,4.0
18017,337166,1.0
18017,301547,1.0
18017,118633,1.0
18017,39207,1.0
18017,69081,1.0
18017,143316,1.0
18017,256694,1.0
18017,97890,1.0
18017,55072,1.0
18104,358819,4.0
18104,337166,1.0
18104,301547,1.0
18104,118633,1.0
18104,39207,1.0
18104,69081,1.0
18104,143316,1.0
18104,256694,1.0
18104,97890,1.0
18104,55072,1.0
18304,119736,91.0
18304,409804,35.0
18304,213834,34.0
18304,439963,32.0
18304,355994,30.0
18304,235559,27.0
18304,65021,25.0
18304,338395,25.0
18304,282385,22.0
18304,445351,21.0
18517,358819,4.0
18517,337166,1.0
18517,301547,1.0
18517,118633,1.0
18517,39207,1.0
18517,69081,1.0
18517,143316,1.0
18517,256694,1.0
18517,97890,1.0
18517,55072,1.0
18565,358819,4.0
18565,337166,1.0
18565,301547,1.0
18565,118633,1.0
18565,39207,1.0
18565,69081,1.0
18565,143316,1.0
18565,256694,1.0
18565,97890,1.0
18565,55072,1.0
18729,358819,4.0
18729,337166,1.0
18729,301547,1.0
18729,118633,1.0
18729,39207,1.0
18729,69081,1.0
18729,143316,1.0
18729,256694,1.0
18729,97890,1.0
18729,55072,1.0
18927,358819,4.0
18927,337166,1.0
18927,301547,1.0
18927,118633,1.0
18927,39207,1.0
18927,69081,1.0
18927,143316,1.0
18927,256694,1.0
18927,97890,1.0
18927,55072,1.0
19157,358819,4.0
19157,337166,1.0
19157,301547,1.0
19157,118633,1.0
19157,39207,1.0
19157,69081,1.0
19157,143316,1.0
19157,256694,1.0
19157,97890,1.0
19157,55072,1.0
19326,119736,91.0
19326,409804,35.0
19326,213834,34.0
19326,439963,32.0
19326,355994,30.0
19326,235559,27.0
19326,65021,25.0
19326,338395,25.0
19326,282385,22.0
19326,442725,21.0
19707,358819,4.0
19707,337166,1.0
19707,301547,1.0
19707,118633,1.0
19707,39207,1.0
19707,69081,1.0
19707,143316,1.0
19707,256694,1.0
19707,97890,1.0
19707,55072,1.0
19792,358819,4.0
19792,337166,1.0
19792,301547,1.0
19792,118633,1.0
19792,39207,1.0
19792,69081,1.0
19792,143316,1.0
19792,256694,1.0
19792,97890,1.0
19792,55072,1.0
19863,358819,4.0
19863,337166,1.0
19863,301547,1.0
19863,118633,1.0
19863,39207,1.0
19863,69081,1.0
19863,143316,1.0
19863,256694,1.0
19863,97890,1.0
19863,55072,1.0
20327,358819,4.0
20327,337166,1.0
20327,301547,1.0
20327,118633,1.0
20327,39207,1.0
20327,69081,1.0
20327,143316,1.0
20327,256694,1.0
20327,97890,1.0
20327,55072,1.0
21276,358819,4.0
21276,337166,1.0
21276,301547,1.0
21276,118633,1.0
21276,39207,1.0
21276,69081,1.0
21276,143316,1.0
21276,256694,1.0
21276,97890,1.0
21276,55072,1.0
21432,358819,4.0
21432,333147,1.0
21432,85914,1.0
21432,440990,1.0
21432,350629,1.0
21432,39207,1.0
21432,143316,1.0
21432,256694,1.0
21432,97890,1.0
21432,55072,1.0
21794,358819,4.0
21794,337166,1.0
21794,301547,1.0
21794,118633,1.0
21794,39207,1.0
21794,69081,1.0
21794,143316,1.0
21794,256694,1.0
21794,97890,1.0
21794,55072,1.0
22698,358819,4.0
22698,337166,1.0
22698,301547,1.0
22698,118633,1.0
22698,39207,1.0
22698,69081,1.0
22698,143316,1.0
22698,256694,1.0
22698,97890,1.0
22698,55072,1.0
22943,358819,4.0
22943,337166,1.0
22943,301547,1.0
22943,118633,1.0
22943,39207,1.0
22943,69081,1.0
22943,143316,1.0
22943,256694,1.0
22943,97890,1.0
22943,55072,1.0
23369,358819,4.0
23369,337166,1.0
23369,301547,1.0
23369,118633,1.0
23369,39207,1.0
23369,69081,1.0
23369,143316,1.0
23369,256694,1.0
23369,97890,1.0
23369,55072,1.0
23939,358819,4.0
23939,337166,1.0
23939,301547,1.0
23939,118633,1.0
23939,39207,1.0
23939,69081,1.0
23939,143316,1.0
23939,256694,1.0
23939,97890,1.0
23939,55072,1.0
24324,358819,4.0
24324,337166,1.0
24324,301547,1.0
24324,118633,1.0
24324,39207,1.0
24324,69081,1.0
24324,143316,1.0
24324,256694,1.0
24324,97890,1.0
24324,55072,1.0
24563,358819,4.0
24563,337166,1.0
24563,301547,1.0
24563,118633,1.0
24563,39207,1.0
24563,69081,1.0
24563,143316,1.0
24563,256694,1.0
24563,97890,1.0
24563,55072,1.0
24791,358819,4.0
24791,337166,1.0
24791,301547,1.0
24791,118633,1.0
24791,39207,1.0
24791,69081,1.0
24791,143316,1.0
24791,256694,1.0
24791,97890,1.0
24791,55072,1.0
24834,55072,1.0
24834,311886,1.0
25259,358819,4.0
25259,39207,1.0
25259,143316,1.0
25259,256694,1.0
25259,97890,1.0
25259,55072,1.0
25259,311886,1.0
25259,380693,1.0
25259,202168,1.0
25259,296217,1.0
25489,358819,4.0
25489,337166,1.0
25489,301547,1.0
25489,118633,1.0
25489,39207,1.0
25489,69081,1.0
25489,143316,1.0
25489,256694,1.0
25489,97890,1.0
25489,55072,1.0
25540,358819,4.0
25540,337166,1.0
25540,301547,1.0
25540,118633,1.0
25540,39207,1.0
25540,69081,1.0
25540,143316,1.0
25540,256694,1.0
25540,97890,1.0
25540,55072,1.0
25631,358819,4.0
25631,337166,1.0
25631,301547,1.0
25631,118633,1.0
25631,39207,1.0
25631,69081,1.0
25631,143316,1.0
25631,256694,1.0
25631,97890,1.0
25631,55072,1.0
25844,358819,4.0
25844,337166,1.0
25844,301547,1.0
25844,118633,1.0
25844,39207,1.0
25844,69081,1.0
25844,143316,1.0
25844,256694,1.0
25844,97890,1.0
25844,55072,1.0
26208,358819,4.0
26208,337166,1.0
26208,301547,1.0
26208,118633,1.0
26208,39207,1.0
26208,69081,1.0
26208,143316,1.0
26208,256694,1.0
26208,97890,1.0
26208,55072,1.0
26426,358819,4.0
26426,39207,1.0
26426,143316,1.0
26426,256694,1.0
26426,97890,1.0
26426,55072,1.0
26426,311886,1.0
26426,380693,1.0
26426,202168,1.0
26426,296217,1.0
26650,358819,4.0
26650,337166,1.0
26650,301547,1.0
26650,118633,1.0
26650,39207,1.0
26650,69081,1.0
26650,143316,1.0
26650,256694,1.0
26650,97890,1.0
26650,55072,1.0
26731,358819,4.0
26731,337166,1.0
26731,301547,1.0
26731,118633,1.0
26731,39207,1.0
26731,69081,1.0
26731,143316,1.0
26731,256694,1.0
26731,97890,1.0
26731,55072,1.0
26964,358819,4.0
26964,337166,1.0
26964,301547,1.0
26964,118633,1.0
26964,39207,1.0
26964,69081,1.0
26964,143316,1.0
26964,256694,1.0
26964,97890,1.0
26964,55072,1.0
27601,358819,4.0
27601,39207,1.0
27601,85674,1.0
27601,143316,1.0
27601,256694,1.0
27601,97890,1.0
27601,55072,1.0
27601,311886,1.0
27601,380693,1.0
27601,202168,1.0
27717,358819,4.0
27717,337166,1.0
27717,301547,1.0
27717,118633,1.0
27717,39207,1.0
27717,69081,1.0
27717,143316,1.0
27717,256694,1.0
27717,97890,1.0
27717,55072,1.0
27968,358819,4.0
27968,337166,1.0
27968,301547,1.0
27968,118633,1.0
27968,39207,1.0
27968,69081,1.0
27968,143316,1.0
27968,256694,1.0
27968,97890,1.0
27968,55072,1.0
28256,358819,4.0
28256,337166,1.0
28256,301547,1.0
28256,118633,1.0
28256,39207,1.0
28256,69081,1.0
28256,143316,1.0
28256,256694,1.0
28256,97890,1.0
28256,55072,1.0
28380,358819,4.0
28380,337166,1.0
28380,301547,1.0
28380,118633,1.0
28380,39207,1.0
28380,69081,1.0
28380,143316,1.0
28380,256694,1.0
28380,97890,1.0
28380,55072,1.0
28692,358819,4.0
28692,337166,1.0
28692,301547,1.0
28692,118633,1.0
28692,39207,1.0
28692,69081,1.0
28692,143316,1.0
28692,256694,1.0
28692,97890,1.0
28692,55072,1.0
28843,358819,4.0
28843,337166,1.0
28843,301547,1.0
28843,118633,1.0
28843,39207,1.0
28843,69081,1.0
28843,143316,1.0
28843,256694,1.0
28843,97890,1.0
28843,55072,1.0
28928,358819,4.0
28928,337166,1.0
28928,301547,1.0
28928,118633,1.0
28928,39207,1.0
28928,69081,1.0
28928,143316,1.0
28928,256694,1.0
28928,97890,1.0
28928,55072,1.0
29206,358819,4.0
29206,337166,1.0
29206,301547,1.0
29206,118633,1.0
29206,39207,1.0
29206,69081,1.0
29206,143316,1.0
29206,256694,1.0
29206,97890,1.0
29206,55072,1.0
29287,358819,4.0
29287,337166,1.0
29287,301547,1.0
29287,118633,1.0
29287,39207,1.0
29287,69081,1.0
29287,143316,1.0
29287,256694,1.0
29287,97890,1.0
29287,55072,1.0
29401,358819,4.0
29401,118633,1.0
29401,39207,1.0
29401,143316,1.0
29401,256694,1.0
29401,97890,1.0
29401,55072,1.0
29401,311886,1.0
29401,380693,1.0
29401,202168,1.0
29471,358819,4.0
29471,337166,1.0
29471,301547,1.0
29471,118633,1.0
29471,39207,1.0
29471,69081,1.0
29471,143316,1.0
29471,256694,1.0
29471,97890,1.0
29471,55072,1.0
30170,358819,4.0
30170,337166,1.0
30170,301547,1.0
30170,118633,1.0
30170,39207,1.0
30170,69081,1.0
30170,143316,1.0
30170,256694,1.0
30170,97890,1.0
30170,55072,1.0
30259,358819,4.0
30259,337166,1.0
30259,301547,1.0
30259,118633,1.0
30259,39207,1.0
30259,69081,1.0
30259,143316,1.0
30259,256694,1.0
30259,97890,1.0
30259,55072,1.0
30343,358819,4.0
30343,337166,1.0
30343,301547,1.0
30343,118633,1.0
30343,39207,1.0
30343,69081,1.0
30343,143316,1.0
30343,256694,1.0
30343,97890,1.0
30343,55072,1.0
30539,358819,4.0
30539,337166,1.0
30539,301547,1.0
30539,118633,1.0
30539,39207,1.0
30539,69081,1.0
30539,143316,1.0
30539,256694,1.0
30539,97890,1.0
30539,55072,1.0
30770,358819,4.0
30770,337166,1.0
30770,301547,1.0
30770,118633,1.0
30770,39207,1.0
30770,69081,1.0
30770,143316,1.0
30770,256694,1.0
30770,97890,1.0
30770,55072,1.0
30823,358819,4.0
30823,337166,1.0
30823,301547,1.0
30823,118633,1.0
30823,39207,1.0
30823,69081,1.0
30823,143316,1.0
30823,256694,1.0
30823,97890,1.0
30823,55072,1.0
31064,358819,4.0
31064,337166,1.0
31064,301547,1.0
31064,118633,1.0
31064,39207,1.0
31064,69081,1.0
31064,143316,1.0
31064,256694,1.0
31064,97890,1.0
31064,55072,1.0
31474,358819,4.0
31474,337166,1.0
31474,301547,1.0
31474,118633,1.0
31474,39207,1.0
31474,69081,1.0
31474,143316,1.0
31474,256694,1.0
31474,97890,1.0
31474,55072,1.0
31707,358819,4.0
31707,337166,1.0
31707,301547,1.0
31707,118633,1.0
31707,39207,1.0
31707,69081,1.0
31707,143316,1.0
31707,256694,1.0
31707,97890,1.0
31707,55072,1.0
31936,358819,4.0
31936,337166,1.0
31936,301547,1.0
31936,118633,1.0
31936,39207,1.0
31936,69081,1.0
31936,143316,1.0
31936,256694,1.0
31936,97890,1.0
31936,55072,1.0
32446,358819,4.0
32446,39207,1.0
32446,331910,1.0
32446,143316,1.0
32446,256694,1.0
32446,97890,1.0
32446,55072,1.0
32446,311886,1.0
32446,380693,1.0
32446,202168,1.0
32559,358819,4.0
32559,337166,1.0
32559,301547,1.0
32559,118633,1.0
32559,39207,1.0
32559,69081,1.0
32559,143316,1.0
32559,256694,1.0
32559,97890,1.0
32559,55072,1.0
33070,358819,4.0
33070,337166,1.0
33070,301547,1.0
33070,118633,1.0
33070,39207,1.0
33070,69081,1.0
33070,143316,1.0
33070,256694,1.0
33070,97890,1.0
33070,55072,1.0
33330,119736,91.0
33330,409804,35.0
33330,213834,34.0
33330,439963,32.0
33330,355994,30.0
33330,235559,27.0
33330,65021,25.0
33330,338395,25.0
33330,282385,22.0
33330,182407,21.0
33987,358819,4.0
33987,337166,1.0
33987,301547,1.0
33987,118633,1.0
33987,39207,1.0
33987,69081,1.0
33987,143316,1.0
33987,256694,1.0
33987,97890,1.0
33987,55072,1.0
34234,358819,4.0
34234,337166,1.0
34234,301547,1.0
34234,118633,1.0
34234,39207,1.0
34234,69081,1.0
34234,143316,1.0
34234,256694,1.0
34234,97890,1.0
34234,55072,1.0
34365,358819,4.0
34365,337166,1.0
34365,301547,1.0
34365,118633,1.0
34365,39207,1.0
34365,69081,1.0
34365,143316,1.0
34365,256694,1.0
34365,97890,1.0
34365,55072,1.0
34500,358819,4.0
34500,39207,1.0
34500,143316,1.0
34500,256694,1.0
34500,97890,1.0
34500,55072,1.0
34500,311886,1.0
34500,380693,1.0
34500,202168,1.0
34500,296217,1.0
34511,119736,91.0
34511,409804,35.0
34511,213834,34.0
34511,439963,32.0
34511,355994,30.0
34511,235559,27.0
34511,338395,25.0
34511,65021,25.0
34511,282385,22.0
34511,182407,21.0
34523,233734,1.0
34523,310318,1.0
34523,55072,1.0
34523,311886,1.0
34523,380693,1.0
34523,202168,1.0
34523,296217,1.0
34523,298545,1.0
34523,69081,1.0
34844,354982,10.0
34844,296896,9.0
34844,358819,4.0
34844,92361,2.0
34844,389615,2.0
34844,4364,1.0
34844,6828,1.0
34844,41168,1.0
34844,221236,1.0
34844,207430,1.0
35032,358819,4.0
35032,337166,1.0
35032,301547,1.0
35032,118633,1.0
35032,39207,1.0
35032,69081,1.0
35032,143316,1.0
35032,256694,1.0
35032,97890,1.0
35032,55072,1.0
35233,358819,4.0
35233,337166,1.0
35233,301547,1.0
35233,118633,1.0
35233,39207,1.0
35233,69081,1.0
35233,143316,1.0
35233,256694,1.0
35233,97890,1.0
35233,55072,1.0
35262,358819,4.0
35262,337166,1.0
35262,301547,1.0
35262,118633,1.0
35262,39207,1.0
35262,69081,1.0
35262,143316,1.0
35262,256694,1.0
35262,97890,1.0
