visitorid,itemid,recommendation_score,feedback,feedback_score,updated_score,updated_rank,recommendation_score_user,updated_score_user,feedback_score_user,personalization_score,personalized_rank
1724,69081,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
1724,143316,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
1724,256694,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
1724,97890,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
1724,55072,1.0,Neutral,0,1.0,10,1.3,1.0,0.9,0.975,10
1997,358819,4.0,Like,1,1.0,1,1.3,1.0,1.0,1.0,1
1997,337166,1.0,Like,1,1.0,2,1.3,1.0,1.0,1.0,2
1997,301547,1.0,Like,1,1.0,3,1.3,1.0,1.0,1.0,3
1997,118633,1.0,Like,1,1.0,4,1.3,1.0,1.0,1.0,4
1997,39207,1.0,Like,1,1.0,5,1.3,1.0,1.0,1.0,5
1997,69081,1.0,Like,1,1.0,6,1.3,1.0,1.0,1.0,6
1997,143316,1.0,Like,1,1.0,7,1.3,1.0,1.0,1.0,7
1997,256694,1.0,Like,1,1.0,8,1.3,1.0,1.0,1.0,8
1997,97890,1.0,Like,1,1.0,9,1.3,1.0,1.0,1.0,9
1997,55072,1.0,Like,1,1.0,10,1.3,1.0,1.0,1.0,10
2056,358819,4.0,Neutral,0,1.0,1,1.3,1.0,0.8,0.9500000000000001,1
2056,337166,1.0,Like,1,1.0,2,1.3,1.0,0.8,0.9500000000000001,2
2056,301547,1.0,Like,1,1.0,3,1.3,1.0,0.8,0.9500000000000001,3
2056,118633,1.0,Like,1,1.0,4,1.3,1.0,0.8,0.9500000000000001,4
2056,39207,1.0,Like,1,1.0,5,1.3,1.0,0.8,0.9500000000000001,5
2056,69081,1.0,Like,1,1.0,6,1.3,1.0,0.8,0.9500000000000001,6
2056,143316,1.0,Like,1,1.0,7,1.3,1.0,0.8,0.9500000000000001,7
2056,256694,1.0,Like,1,1.0,8,1.3,1.0,0.8,0.9500000000000001,8
2056,97890,1.0,Neutral,0,1.0,9,1.3,1.0,0.8,0.9500000000000001,9
2056,55072,1.0,Like,1,1.0,10,1.3,1.0,0.8,0.9500000000000001,10
2347,358819,4.0,Like,1,1.0,1,1.3,1.0,1.0,1.0,1
2347,337166,1.0,Like,1,1.0,2,1.3,1.0,1.0,1.0,2
2347,301547,1.0,Like,1,1.0,3,1.3,1.0,1.0,1.0,3
2347,118633,1.0,Like,1,1.0,4,1.3,1.0,1.0,1.0,4
2347,39207,1.0,Like,1,1.0,5,1.3,1.0,1.0,1.0,5
2347,69081,1.0,Like,1,1.0,6,1.3,1.0,1.0,1.0,6
2347,143316,1.0,Like,1,1.0,7,1.3,1.0,1.0,1.0,7
2347,256694,1.0,Like,1,1.0,8,1.3,1.0,1.0,1.0,8
2347,97890,1.0,Like,1,1.0,9,1.3,1.0,1.0,1.0,9
2347,55072,1.0,Like,1,1.0,10,1.3,1.0,1.0,1.0,10
2496,358819,4.0,Like,1,1.0,1,1.3,1.0,0.9,0.975,1
2496,337166,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
2496,301547,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
2496,118633,1.0,Like,1,1.0,4,1.3,1.0,0.9,0.975,4
2496,39207,1.0,Neutral,0,1.0,5,1.3,1.0,0.9,0.975,5
2496,69081,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
2496,143316,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
2496,256694,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
2496,97890,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
2496,55072,1.0,Like,1,1.0,10,1.3,1.0,0.9,0.975,10
3418,358819,4.0,Like,1,1.0,1,1.3,1.0,0.7,0.9249999999999999,1
3418,337166,1.0,Like,1,1.0,2,1.3,1.0,0.7,0.9249999999999999,2
3418,301547,1.0,Neutral,0,1.0,3,1.3,1.0,0.7,0.9249999999999999,3
3418,118633,1.0,Like,1,1.0,4,1.3,1.0,0.7,0.9249999999999999,4
3418,39207,1.0,Like,1,1.0,5,1.3,1.0,0.7,0.9249999999999999,5
3418,69081,1.0,Neutral,0,1.0,6,1.3,1.0,0.7,0.9249999999999999,6
3418,143316,1.0,Like,1,1.0,7,1.3,1.0,0.7,0.9249999999999999,7
3418,256694,1.0,Like,1,1.0,8,1.3,1.0,0.7,0.9249999999999999,8
3418,97890,1.0,Neutral,0,1.0,9,1.3,1.0,0.7,0.9249999999999999,9
3418,55072,1.0,Like,1,1.0,10,1.3,1.0,0.7,0.9249999999999999,10
3581,358819,4.0,Like,1,1.0,1,1.3,1.0,0.8,0.9500000000000001,1
3581,337166,1.0,Neutral,0,1.0,2,1.3,1.0,0.8,0.9500000000000001,2
3581,301547,1.0,Like,1,1.0,3,1.3,1.0,0.8,0.9500000000000001,3
3581,118633,1.0,Like,1,1.0,4,1.3,1.0,0.8,0.9500000000000001,4
3581,39207,1.0,Like,1,1.0,5,1.3,1.0,0.8,0.9500000000000001,5
3581,69081,1.0,Like,1,1.0,6,1.3,1.0,0.8,0.9500000000000001,6
3581,143316,1.0,Like,1,1.0,7,1.3,1.0,0.8,0.9500000000000001,7
3581,256694,1.0,Neutral,0,1.0,8,1.3,1.0,0.8,0.9500000000000001,8
3581,97890,1.0,Like,1,1.0,9,1.3,1.0,0.8,0.9500000000000001,9
3581,55072,1.0,Like,1,1.0,10,1.3,1.0,0.8,0.9500000000000001,10
3827,358819,4.0,Like,1,1.0,1,1.3,1.0,0.8,0.9500000000000001,1
3827,337166,1.0,Like,1,1.0,2,1.3,1.0,0.8,0.9500000000000001,2
3827,301547,1.0,Like,1,1.0,3,1.3,1.0,0.8,0.9500000000000001,3
3827,118633,1.0,Like,1,1.0,4,1.3,1.0,0.8,0.9500000000000001,4
3827,39207,1.0,Neutral,0,1.0,5,1.3,1.0,0.8,0.9500000000000001,5
3827,69081,1.0,Like,1,1.0,6,1.3,1.0,0.8,0.9500000000000001,6
3827,143316,1.0,Like,1,1.0,7,1.3,1.0,0.8,0.9500000000000001,7
3827,256694,1.0,Like,1,1.0,8,1.3,1.0,0.8,0.9500000000000001,8
3827,97890,1.0,Like,1,1.0,9,1.3,1.0,0.8,0.9500000000000001,9
3827,55072,1.0,Neutral,0,1.0,10,1.3,1.0,0.8,0.9500000000000001,10
3872,358819,4.0,Neutral,0,1.0,1,1.3,1.0,0.9,0.975,1
3872,337166,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
3872,301547,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
3872,118633,1.0,Like,1,1.0,4,1.3,1.0,0.9,0.975,4
3872,39207,1.0,Like,1,1.0,5,1.3,1.0,0.9,0.975,5
3872,69081,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
3872,143316,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
3872,256694,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
3872,97890,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
3872,55072,1.0,Like,1,1.0,10,1.3,1.0,0.9,0.975,10
4062,358819,4.0,Neutral,0,1.0,1,1.3,1.0,0.8,0.9500000000000001,1
4062,337166,1.0,Like,1,1.0,2,1.3,1.0,0.8,0.9500000000000001,2
4062,301547,1.0,Like,1,1.0,3,1.3,1.0,0.8,0.9500000000000001,3
4062,118633,1.0,Like,1,1.0,4,1.3,1.0,0.8,0.9500000000000001,4
4062,39207,1.0,Neutral,0,1.0,5,1.3,1.0,0.8,0.9500000000000001,5
4062,69081,1.0,Like,1,1.0,6,1.3,1.0,0.8,0.9500000000000001,6
4062,143316,1.0,Like,1,1.0,7,1.3,1.0,0.8,0.9500000000000001,7
4062,256694,1.0,Like,1,1.0,8,1.3,1.0,0.8,0.9500000000000001,8
4062,97890,1.0,Like,1,1.0,9,1.3,1.0,0.8,0.9500000000000001,9
4062,55072,1.0,Like,1,1.0,10,1.3,1.0,0.8,0.9500000000000001,10
4067,358819,4.0,Like,1,1.0,1,1.3,1.0,1.0,1.0,1
4067,337166,1.0,Like,1,1.0,2,1.3,1.0,1.0,1.0,2
4067,301547,1.0,Like,1,1.0,3,1.3,1.0,1.0,1.0,3
4067,118633,1.0,Like,1,1.0,4,1.3,1.0,1.0,1.0,4
4067,39207,1.0,Like,1,1.0,5,1.3,1.0,1.0,1.0,5
4067,69081,1.0,Like,1,1.0,6,1.3,1.0,1.0,1.0,6
4067,143316,1.0,Like,1,1.0,7,1.3,1.0,1.0,1.0,7
4067,256694,1.0,Like,1,1.0,8,1.3,1.0,1.0,1.0,8
4067,97890,1.0,Like,1,1.0,9,1.3,1.0,1.0,1.0,9
4067,55072,1.0,Like,1,1.0,10,1.3,1.0,1.0,1.0,10
4076,358819,4.0,Like,1,1.0,1,1.4,1.0,0.9,0.975,1
4076,289103,2.0,Like,1,1.0,2,1.4,1.0,0.9,0.975,2
4076,31640,1.0,Like,1,1.0,3,1.4,1.0,0.9,0.975,3
4076,349736,1.0,Like,1,1.0,4,1.4,1.0,0.9,0.975,4
4076,39207,1.0,Like,1,1.0,5,1.4,1.0,0.9,0.975,5
4076,143316,1.0,Like,1,1.0,6,1.4,1.0,0.9,0.975,6
4076,190000,1.0,Like,1,1.0,7,1.4,1.0,0.9,0.975,7
4076,256694,1.0,Like,1,1.0,8,1.4,1.0,0.9,0.975,8
4076,97890,1.0,Neutral,0,1.0,9,1.4,1.0,0.9,0.975,9
4076,55072,1.0,Like,1,1.0,10,1.4,1.0,0.9,0.975,10
4316,358819,4.0,Like,1,1.0,1,1.3,1.0,0.8,0.9500000000000001,1
4316,337166,1.0,Like,1,1.0,2,1.3,1.0,0.8,0.9500000000000001,2
4316,301547,1.0,Neutral,0,1.0,3,1.3,1.0,0.8,0.9500000000000001,3
4316,118633,1.0,Neutral,0,1.0,4,1.3,1.0,0.8,0.9500000000000001,4
4316,39207,1.0,Like,1,1.0,5,1.3,1.0,0.8,0.9500000000000001,5
4316,69081,1.0,Like,1,1.0,6,1.3,1.0,0.8,0.9500000000000001,6
4316,143316,1.0,Like,1,1.0,7,1.3,1.0,0.8,0.9500000000000001,7
4316,256694,1.0,Like,1,1.0,8,1.3,1.0,0.8,0.9500000000000001,8
4316,97890,1.0,Like,1,1.0,9,1.3,1.0,0.8,0.9500000000000001,9
4316,55072,1.0,Like,1,1.0,10,1.3,1.0,0.8,0.9500000000000001,10
4482,358819,4.0,Like,1,1.0,1,1.3,1.0,0.6,0.9,1
4482,337166,1.0,Neutral,0,1.0,2,1.3,1.0,0.6,0.9,2
4482,301547,1.0,Neutral,0,1.0,3,1.3,1.0,0.6,0.9,3
4482,118633,1.0,Like,1,1.0,4,1.3,1.0,0.6,0.9,4
4482,39207,1.0,Like,1,1.0,5,1.3,1.0,0.6,0.9,5
4482,69081,1.0,Like,1,1.0,6,1.3,1.0,0.6,0.9,6
4482,143316,1.0,Like,1,1.0,7,1.3,1.0,0.6,0.9,7
4482,256694,1.0,Neutral,0,1.0,8,1.3,1.0,0.6,0.9,8
4482,97890,1.0,Neutral,0,1.0,9,1.3,1.0,0.6,0.9,9
4482,55072,1.0,Like,1,1.0,10,1.3,1.0,0.6,0.9,10
4484,358819,4.0,Like,1,1.0,1,1.3,1.0,0.9,0.975,1
4484,337166,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
4484,301547,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
4484,118633,1.0,Neutral,0,1.0,4,1.3,1.0,0.9,0.975,4
4484,39207,1.0,Like,1,1.0,5,1.3,1.0,0.9,0.975,5
4484,69081,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
4484,143316,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
4484,256694,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
4484,97890,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
4484,55072,1.0,Like,1,1.0,10,1.3,1.0,0.9,0.975,10
4570,358819,4.0,Like,1,1.0,1,1.3,1.0,1.0,1.0,1
4570,337166,1.0,Like,1,1.0,2,1.3,1.0,1.0,1.0,2
4570,301547,1.0,Like,1,1.0,3,1.3,1.0,1.0,1.0,3
4570,118633,1.0,Like,1,1.0,4,1.3,1.0,1.0,1.0,4
4570,39207,1.0,Like,1,1.0,5,1.3,1.0,1.0,1.0,5
4570,69081,1.0,Like,1,1.0,6,1.3,1.0,1.0,1.0,6
4570,143316,1.0,Like,1,1.0,7,1.3,1.0,1.0,1.0,7
4570,256694,1.0,Like,1,1.0,8,1.3,1.0,1.0,1.0,8
4570,97890,1.0,Like,1,1.0,9,1.3,1.0,1.0,1.0,9
4570,55072,1.0,Like,1,1.0,10,1.3,1.0,1.0,1.0,10
4843,358819,4.0,Like,1,1.0,1,1.3,1.0,0.8,0.9500000000000001,1
4843,337166,1.0,Like,1,1.0,2,1.3,1.0,0.8,0.9500000000000001,2
4843,301547,1.0,Like,1,1.0,3,1.3,1.0,0.8,0.9500000000000001,3
4843,118633,1.0,Like,1,1.0,4,1.3,1.0,0.8,0.9500000000000001,4
4843,39207,1.0,Like,1,1.0,5,1.3,1.0,0.8,0.9500000000000001,5
4843,69081,1.0,Like,1,1.0,6,1.3,1.0,0.8,0.9500000000000001,6
4843,143316,1.0,Neutral,0,1.0,7,1.3,1.0,0.8,0.9500000000000001,7
4843,256694,1.0,Like,1,1.0,8,1.3,1.0,0.8,0.9500000000000001,8
4843,97890,1.0,Neutral,0,1.0,9,1.3,1.0,0.8,0.9500000000000001,9
4843,55072,1.0,Like,1,1.0,10,1.3,1.0,0.8,0.9500000000000001,10
5074,358819,4.0,Like,1,1.0,1,1.3,1.0,1.0,1.0,1
5074,337166,1.0,Like,1,1.0,2,1.3,1.0,1.0,1.0,2
5074,301547,1.0,Like,1,1.0,3,1.3,1.0,1.0,1.0,3
5074,118633,1.0,Like,1,1.0,4,1.3,1.0,1.0,1.0,4
5074,39207,1.0,Like,1,1.0,5,1.3,1.0,1.0,1.0,5
5074,69081,1.0,Like,1,1.0,6,1.3,1.0,1.0,1.0,6
5074,143316,1.0,Like,1,1.0,7,1.3,1.0,1.0,1.0,7
5074,256694,1.0,Like,1,1.0,8,1.3,1.0,1.0,1.0,8
5074,97890,1.0,Like,1,1.0,9,1.3,1.0,1.0,1.0,9
5074,55072,1.0,Like,1,1.0,10,1.3,1.0,1.0,1.0,10
5281,358819,4.0,Neutral,0,1.0,1,1.3,1.0,0.3,0.825,1
5281,337166,1.0,Neutral,0,1.0,2,1.3,1.0,0.3,0.825,2
5281,301547,1.0,Neutral,0,1.0,3,1.3,1.0,0.3,0.825,3
5281,118633,1.0,Like,1,1.0,4,1.3,1.0,0.3,0.825,4
5281,39207,1.0,Like,1,1.0,5,1.3,1.0,0.3,0.825,5
5281,69081,1.0,Neutral,0,1.0,6,1.3,1.0,0.3,0.825,6
5281,143316,1.0,Like,1,1.0,7,1.3,1.0,0.3,0.825,7
5281,256694,1.0,Neutral,0,1.0,8,1.3,1.0,0.3,0.825,8
5281,97890,1.0,Neutral,0,1.0,9,1.3,1.0,0.3,0.825,9
5281,55072,1.0,Neutral,0,1.0,10,1.3,1.0,0.3,0.825,10
5436,358819,4.0,Like,1,1.0,1,1.3,1.0,0.8,0.9500000000000001,1
5436,337166,1.0,Like,1,1.0,2,1.3,1.0,0.8,0.9500000000000001,2
5436,301547,1.0,Neutral,0,1.0,3,1.3,1.0,0.8,0.9500000000000001,3
5436,118633,1.0,Like,1,1.0,4,1.3,1.0,0.8,0.9500000000000001,4
5436,39207,1.0,Like,1,1.0,5,1.3,1.0,0.8,0.9500000000000001,5
5436,69081,1.0,Like,1,1.0,6,1.3,1.0,0.8,0.9500000000000001,6
5436,143316,1.0,Neutral,0,1.0,7,1.3,1.0,0.8,0.9500000000000001,7
5436,256694,1.0,Like,1,1.0,8,1.3,1.0,0.8,0.9500000000000001,8
5436,97890,1.0,Like,1,1.0,9,1.3,1.0,0.8,0.9500000000000001,9
5436,55072,1.0,Like,1,1.0,10,1.3,1.0,0.8,0.9500000000000001,10
5545,119736,91.0,Like,1,1.0,1,34.2,1.0,0.8,0.9500000000000001,1
5545,409804,35.0,Neutral,0,1.0,2,34.2,1.0,0.8,0.9500000000000001,2
5545,213834,34.0,Like,1,1.0,3,34.2,1.0,0.8,0.9500000000000001,3
5545,439963,32.0,Like,1,1.0,4,34.2,1.0,0.8,0.9500000000000001,4
5545,355994,30.0,Neutral,0,1.0,5,34.2,1.0,0.8,0.9500000000000001,5
5545,235559,27.0,Like,1,1.0,6,34.2,1.0,0.8,0.9500000000000001,6
5545,338395,25.0,Like,1,1.0,7,34.2,1.0,0.8,0.9500000000000001,7
5545,65021,25.0,Like,1,1.0,8,34.2,1.0,0.8,0.9500000000000001,8
5545,282385,22.0,Like,1,1.0,9,34.2,1.0,0.8,0.9500000000000001,9
5545,182407,21.0,Like,1,1.0,10,34.2,1.0,0.8,0.9500000000000001,10
5780,97890,1.0,Like,1,1.0,1,1.0,1.0,0.8,0.9500000000000001,1
5780,55072,1.0,Like,1,1.0,2,1.0,1.0,0.8,0.9500000000000001,2
5780,311886,1.0,Neutral,0,1.0,3,1.0,1.0,0.8,0.9500000000000001,3
5780,380693,1.0,Neutral,0,1.0,4,1.0,1.0,0.8,0.9500000000000001,4
5780,202168,1.0,Like,1,1.0,5,1.0,1.0,0.8,0.9500000000000001,5
5780,296217,1.0,Like,1,1.0,6,1.0,1.0,0.8,0.9500000000000001,6
5780,298545,1.0,Like,1,1.0,7,1.0,1.0,0.8,0.9500000000000001,7
5780,69081,1.0,Like,1,1.0,8,1.0,1.0,0.8,0.9500000000000001,8
5780,77298,1.0,Like,1,1.0,9,1.0,1.0,0.8,0.9500000000000001,9
5780,207572,1.0,Like,1,1.0,10,1.0,1.0,0.8,0.9500000000000001,10
6275,358819,4.0,Neutral,0,1.0,1,1.3,1.0,0.9,0.975,1
6275,337166,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
6275,301547,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
6275,118633,1.0,Like,1,1.0,4,1.3,1.0,0.9,0.975,4
6275,39207,1.0,Like,1,1.0,5,1.3,1.0,0.9,0.975,5
6275,69081,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
6275,143316,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
6275,256694,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
6275,97890,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
6275,55072,1.0,Like,1,1.0,10,1.3,1.0,0.9,0.975,10
6675,358819,4.0,Like,1,1.0,1,1.3,1.0,1.0,1.0,1
6675,337166,1.0,Like,1,1.0,2,1.3,1.0,1.0,1.0,2
6675,301547,1.0,Like,1,1.0,3,1.3,1.0,1.0,1.0,3
6675,118633,1.0,Like,1,1.0,4,1.3,1.0,1.0,1.0,4
6675,39207,1.0,Like,1,1.0,5,1.3,1.0,1.0,1.0,5
6675,69081,1.0,Like,1,1.0,6,1.3,1.0,1.0,1.0,6
6675,143316,1.0,Like,1,1.0,7,1.3,1.0,1.0,1.0,7
6675,256694,1.0,Like,1,1.0,8,1.3,1.0,1.0,1.0,8
6675,97890,1.0,Like,1,1.0,9,1.3,1.0,1.0,1.0,9
6675,55072,1.0,Like,1,1.0,10,1.3,1.0,1.0,1.0,10
7514,358819,4.0,Like,1,1.0,1,1.3,1.0,0.9,0.975,1
7514,337166,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
7514,301547,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
7514,118633,1.0,Like,1,1.0,4,1.3,1.0,0.9,0.975,4
7514,39207,1.0,Like,1,1.0,5,1.3,1.0,0.9,0.975,5
7514,69081,1.0,Neutral,0,1.0,6,1.3,1.0,0.9,0.975,6
7514,143316,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
7514,256694,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
7514,97890,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
7514,55072,1.0,Like,1,1.0,10,1.3,1.0,0.9,0.975,10
8171,358819,4.0,Like,1,1.0,1,1.3,1.0,0.9,0.975,1
8171,118633,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
8171,39207,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
8171,143316,1.0,Neutral,0,1.0,4,1.3,1.0,0.9,0.975,4
8171,256694,1.0,Like,1,1.0,5,1.3,1.0,0.9,0.975,5
8171,97890,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
8171,55072,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
8171,311886,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
8171,380693,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
8171,202168,1.0,Like,1,1.0,10,1.3,1.0,0.9,0.975,10
8258,358819,4.0,Like,1,1.0,1,1.3,1.0,0.9,0.975,1
8258,337166,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
8258,301547,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
8258,118633,1.0,Like,1,1.0,4,1.3,1.0,0.9,0.975,4
8258,39207,1.0,Neutral,0,1.0,5,1.3,1.0,0.9,0.975,5
8258,69081,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
8258,143316,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
8258,256694,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
8258,97890,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
8258,55072,1.0,Like,1,1.0,10,1.3,1.0,0.9,0.975,10
9037,358819,4.0,Like,1,1.0,1,1.3,1.0,0.9,0.975,1
9037,337166,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
9037,301547,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
9037,118633,1.0,Like,1,1.0,4,1.3,1.0,0.9,0.975,4
9037,39207,1.0,Like,1,1.0,5,1.3,1.0,0.9,0.975,5
9037,69081,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
9037,143316,1.0,Neutral,0,1.0,7,1.3,1.0,0.9,0.975,7
9037,256694,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
